DISTRICT,ST_NM,ST_CEN_CD,DT_CEN_CD,censuscode
Adilabad,Andhra Pradesh,28,1,532
Agra,Uttar Pradesh,9,15,146
Ahmadabad,Gujarat,24,7,474
Ahmadnagar,Maharashtra,27,26,522
Aizawl,Mizoram,15,3,283
Ajmer,Rajasthan,8,21,119
Akola,Maharashtra,27,5,501
Alappuzha,Kerala,32,11,598
Aligarh,Uttar Pradesh,9,12,143
Alirajpur,Madhya Pradesh,23,48,465
Allahabad,Uttar Pradesh,9,44,175
Almora,Uttarakhand,5,9,64
Alwar,Rajasthan,8,6,104
Ambala,Haryana,6,2,70
Ambedkar Nagar,Uttar Pradesh,9,47,178
Amravati,Maharashtra,27,7,503
Amreli,Gujarat,24,13,480
Amritsar,Punjab,3,15,49
Anand,Gujarat,24,15,482
Anantapur,Andhra Pradesh,28,22,553
Anantnag,Jammu & Kashmir,1,14,14
Anjaw,Arunanchal Pradesh,12,16,260
Anugul,Odisha,21,15,384
Anuppur,Madhya Pradesh,23,44,461
Araria,Bihar,10,7,209
Ariyalur,Tamil Nadu,33,15,616
Ashoknagar,Madhya Pradesh,23,42,459
Auraiya,Uttar Pradesh,9,31,162
Aurangabad,Bihar,10,33,235
Aurangabad,Maharashtra,27,19,515
Azamgarh,Uttar Pradesh,9,60,191
Badgam,Jammu & Kashmir,1,2,2
Bagalkot,Karnataka,29,2,556
Bageshwar,Uttarakhand,5,8,63
Baghpat,Uttar Pradesh,9,8,139
Bahraich,Uttar Pradesh,9,49,180
Baksa,Assam,18,25,324
Balaghat,Madhya Pradesh,23,40,457
Balangir,Odisha,21,24,393
Baleshwar,Odisha,21,8,377
Ballia,Uttar Pradesh,9,62,193
Balrampur,Uttar Pradesh,9,51,182
Banas Kantha,Gujarat,24,2,469
Banda,Uttar Pradesh,9,39,170
Bandipore,Jammu & Kashmir,1,9,9
Bangalore Rural,Karnataka,29,29,583
Bangalore,Karnataka,29,18,572
Banka,Bihar,10,23,225
Bankura,West Bengal,19,13,339
Banswara,Rajasthan,8,27,125
Bara Banki,Uttar Pradesh,9,45,176
Bargarh,Odisha,21,1,370
Baramula,Jammu & Kashmir,1,8,8
Baran,Rajasthan,8,30,128
Barddhaman,West Bengal,19,9,335
Bareilly,Uttar Pradesh,9,19,150
Barmer,Rajasthan,8,17,115
Barnala,Punjab,3,20,54
Barpeta,Assam,18,4,303
Barwani,Madhya Pradesh,23,24,441
Bastar,Chhattisgarh,22,15,414
Basti,Uttar Pradesh,9,54,185
Bathinda,Punjab,3,12,46
Bauda,Odisha,21,22,391
Begusarai,Bihar,10,20,222
Belgaum,Karnataka,29,1,555
